ROI net sum

Spectrum                                 Na   Mg    Al      Si    S    Cl     K      Ca   Ti     V    Mn    Fe    Ni    Zn   Rb    Sr    Zr    Rh    Cd
SRM_1831_300s_100_repeat_Rh_FE_D2_0_39 8805 9332 12521 1077293 8116 21380 28648 1084518 4200  1630  2658 71271  2909 11255 8103 22505 10630 71894  1493
SRM_1831_300s_100_repeat_Rh_FE_D2_0_4  8812 9335 12989 1079242 8230 21219 29172 1087492 4378  1793  2765 72169  2908 11567 8154 23047 10895 72028  1278
SRM_1831_300s_100_repeat_Rh_FE_D2_0_40 8836 9352 12718 1079371 8070 21342 28733 1086057 4169  1639  2744 71480  2696 11624 7656 22643 10221 72764  1390
SRM_1831_300s_100_repeat_Rh_FE_D2_0_41 8871 9407 12687 1078170 8020 20710 29162 1084657 4593  2032  2347 70762  2751 11012 7521 22412 10755 72523  1366
SRM_1831_300s_100_repeat_Rh_FE_D2_0_42 8662 9397 12677 1078710 8271 21552 29158 1085648 4289  1764  2691 70806  2975 11358 7906 22754 10874 71643  1139
SRM_1831_300s_100_repeat_Rh_FE_D2_0_43 8750 9256 12905 1079130 8334 21391 29133 1084259 4107  1579  2490 71042  3221 11305 8042 22650  9508 72242  1716
SRM_1831_300s_100_repeat_Rh_FE_D2_0_44 8746 9264 12827 1075543 8433 21405 29072 1084060 4274  1584  2243 70721  2876 11226 7651 23104 10859 71798  1814
SRM_1831_300s_100_repeat_Rh_FE_D2_0_45 8811 9144 12703 1079358 8392 21695 28975 1085698 4510  1746  2505 70960  2898 11511 8056 22472  9963 71929  1350
SRM_1831_300s_100_repeat_Rh_FE_D2_0_46 8775 9312 12882 1079351 8212 21166 29082 1086110 4216  1565  2523 70715  2833 11060 7808 22488 10893 72545  1862
SRM_1831_300s_100_repeat_Rh_FE_D2_0_47 8778 9155 12635 1079332 8316 21282 28584 1085559 4091  1578  2601 70689  2908 11553 8179 22465 10222 72381  1664
SRM_1831_300s_100_repeat_Rh_FE_D2_0_48 8923 9337 12960 1079004 8184 21529 29155 1085558 4218  1804  2507 70848  2871 11391 8882 23520 11169 72320  1281
SRM_1831_300s_100_repeat_Rh_FE_D2_0_49 8830 9330 12812 1079119 8149 21415 28615 1087432 4394  1594  2376 71351  2598 11432 8292 23562 10831 72045  1515
SRM_1831_300s_100_repeat_Rh_FE_D2_0_5  8957 9402 12935 1080982 8297 21240 29078 1088601 4182  1686  2293 71428  2853 11928 8617 23306 10865 72098  1483
SRM_1831_300s_100_repeat_Rh_FE_D2_0_50 8648 9216 12689 1078992 8237 21132 28827 1086037 4361  1623  2255 70650  3531 11698 8283 22735 10602 72228  1662
SRM_1831_300s_100_repeat_Rh_FE_D2_0_51 8837 9192 12768 1080226 8342 21651 28673 1085438 4197  1692  2806 71177  3352 11066 8194 23185  9765 72194  1518
SRM_1831_300s_100_repeat_Rh_FE_D2_0_52 8787 9278 12883 1079519 8230 21657 29015 1086875 4234  1746  2585 71774  2842 11185 8161 22437 10513 71835  1727
SRM_1831_300s_100_repeat_Rh_FE_D2_0_53 8797 9250 13001 1076458 8127 21153 28988 1084863 4311  1770  2580 71555  2908 11217 7036 22033 10391 70889  1545
SRM_1831_300s_100_repeat_Rh_FE_D2_0_54 8772 9270 12911 1077786 8386 21294 29123 1085763 4137  1672  2231 71152  2953 11416 8057 22555 10012 71846  1664
