ROI sum

Spectrum                                  Na    Mg    Al      Si     S    Cl     K      Ca    Ti     V    Mn    Fe    Ni    Zn    Rb    Sr    Zr     Rh    Cd
SRM_1831_300s_100_repeat_Rh_FE_D2_0_41 10459 11410 15044 1080650 10948 24254 33569 1089403 10834 12369 21690 95741 39936 61648 73239 82208 58741  99941  9713
SRM_1831_300s_100_repeat_Rh_FE_D2_0_42 10217 11336 14919 1081013 10964 24927 33398 1090170 10473 12320 21771 95390 40096 61907 73330 82135 58491  99072  9550
SRM_1831_300s_100_repeat_Rh_FE_D2_0_43 10267 11136 15063 1081324 10896 24648 33386 1088892 10334 12133 21804 95464 40081 61718 73677 82344 58015  99618  9836
SRM_1831_300s_100_repeat_Rh_FE_D2_0_44 10286 11167 14993 1077716 10968 24686 33352 1088667 10532 12262 21673 95655 39939 61648 73009 82390 58242  98838  9885
SRM_1831_300s_100_repeat_Rh_FE_D2_0_45 10346 11057 14910 1081614 11065 25031 33203 1090264 10612 12319 21784 95498 39943 62023 73803 82203 58326  99595  9880
SRM_1831_300s_100_repeat_Rh_FE_D2_0_46 10352 11294 15196 1081755 11017 24601 33400 1090776 10425 12176 21947 95712 40099 61662 73600 82258 59084 100081  9911
SRM_1831_300s_100_repeat_Rh_FE_D2_0_47 10325 11088 14871 1081624 10969 24643 32958 1090328 10419 12054 21712 95218 39944 62086 73820 82040 58458  99781 10029
SRM_1831_300s_100_repeat_Rh_FE_D2_0_48 10454 11241 15152 1081241 10833 24883 33444 1090181 10461 12225 21827 95642 39549 61606 73898 82278 58643  99657  9754
SRM_1831_300s_100_repeat_Rh_FE_D2_0_49 10377 11259 15040 1081403 10849 24808 32938 1092091 10706 12296 21611 96072 39754 62061 73861 83123 58770  99385  9807
SRM_1831_300s_100_repeat_Rh_FE_D2_0_5  10486 11308 15136 1083237 10977 24626 33397 1093228 10446 12390 21632 95888 39682 62419 74175 82705 58855  99360  9909
SRM_1831_300s_100_repeat_Rh_FE_D2_0_50 10195 11154 14944 1081327 11003 24563 33168 1090733 10622 12149 21764 95384 40152 61992 73924 82403 58506  99671  9881
SRM_1831_300s_100_repeat_Rh_FE_D2_0_51 10405 11142 15011 1082513 11023 25050 33070 1090216 10549 12368 22065 95748 40055 61473 73824 82771 58211  99786  9788
SRM_1831_300s_100_repeat_Rh_FE_D2_0_52 10323 11201 15124 1081846 11010 25122 33400 1091607 10617 12424 21862 96131 39740 61814 73849 82119 58497  99367  9865
SRM_1831_300s_100_repeat_Rh_FE_D2_0_53 10344 11176 15221 1078726 10823 24542 33294 1089477 10581 12383 21827 96152 39813 61523 72870 82002 58878  98555  9664
SRM_1831_300s_100_repeat_Rh_FE_D2_0_54 10334 11227 15184 1080129 11138 24741 33510 1090484 10429 12375 21684 95862 40025 61972 73915 82456 58431  99570  9949
