Mass percent (%)

Spectrum                          Na   Mg   Al    Si    S    K    Ca   Ti   Fe   Sr   Rh
SRM_1831_300s_20x20det_2_18_6  14.24 4.15 1.71 63.23 0.21 0.75 15.46 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_7  14.39 4.18 1.65 63.09 0.21 0.75 15.48 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_8  14.24 4.15 1.72 63.22 0.21 0.75 15.45 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_18_9  14.16 4.12 1.71 63.26 0.23 0.76 15.50 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_19_0  14.51 4.16 1.68 63.05 0.21 0.75 15.40 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_19_1  14.24 4.16 1.70 63.22 0.22 0.75 15.46 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_19_10 14.33 4.19 1.71 63.14 0.21 0.75 15.43 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_19_11 14.26 4.15 1.68 63.23 0.22 0.75 15.46 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_19_12 14.33 4.12 1.73 63.18 0.22 0.76 15.42 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_19_13 14.29 4.15 1.66 63.25 0.21 0.75 15.44 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_19_14 13.88 4.08 1.70 63.54 0.20 0.76 15.59 0.03 0.19 0.03 0.00
SRM_1831_300s_20x20det_2_19_15 14.57 4.13 1.68 63.04 0.21 0.74 15.37 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_19_16 14.29 4.14 1.66 63.26 0.21 0.75 15.43 0.03 0.18 0.03 0.00
SRM_1831_300s_20x20det_2_19_17 13.97 4.12 1.70 63.43 0.22 0.77 15.55 0.03 0.18 0.04 0.00
