ROI sum

Spectrum                            Si      Ca     Rh
SRM_1831_300s_20x20det_1_8_12  1532523 1526111 143254
SRM_1831_300s_20x20det_1_8_13  1533304 1528266 143952
SRM_1831_300s_20x20det_1_8_14  1532592 1529235 142850
SRM_1831_300s_20x20det_1_8_15  1532014 1529399 143853
SRM_1831_300s_20x20det_1_8_16  1531057 1525890 142997
SRM_1831_300s_20x20det_1_8_17  1527472 1525504 142883
SRM_1831_300s_20x20det_1_8_18  1532288 1527799 143460
SRM_1831_300s_20x20det_1_8_19  1531715 1527079 143251
SRM_1831_300s_20x20det_1_8_2   1532056 1528468 143798
SRM_1831_300s_20x20det_1_8_3   1532126 1527095 143086
SRM_1831_300s_20x20det_1_8_4   1533928 1527375 143622
SRM_1831_300s_20x20det_1_8_5   1534850 1531765 144282
SRM_1831_300s_20x20det_1_8_6   1534519 1529952 144052
SRM_1831_300s_20x20det_1_8_7   1534024 1527885 143357
SRM_1831_300s_20x20det_1_8_8   1534460 1527156 143704
SRM_1831_300s_20x20det_1_8_9   1536471 1531020 144273
SRM_1831_300s_20x20det_1_9_0   1535907 1530278 147036
SRM_1831_300s_20x20det_1_9_1   1532074 1530032 145361
SRM_1831_300s_20x20det_1_9_10  1532673 1528530 143522
SRM_1831_300s_20x20det_1_9_11  1533740 1527120 143287
SRM_1831_300s_20x20det_1_9_12  1533858 1527576 143806
SRM_1831_300s_20x20det_1_9_13  1530397 1524902 143330
SRM_1831_300s_20x20det_1_9_14  1531085 1527139 142783
SRM_1831_300s_20x20det_1_9_15  1531198 1523499 143152
SRM_1831_300s_20x20det_1_9_16  1533541 1530468 143854
SRM_1831_300s_20x20det_1_9_17  1493572 1519932 143111
SRM_1831_300s_20x20det_1_9_18  1532768 1527306 143587
SRM_1831_300s_20x20det_1_9_19  1534461 1527230 143378
SRM_1831_300s_20x20det_1_9_2   1531621 1526957 144310
SRM_1831_300s_20x20det_1_9_3   1534887 1530104 143834
SRM_1831_300s_20x20det_1_9_4   1535342 1525167 143694
SRM_1831_300s_20x20det_1_9_5   1532098 1527001 143914
SRM_1831_300s_20x20det_1_9_6   1535749 1529773 143443
SRM_1831_300s_20x20det_1_9_7   1530802 1527451 143370
SRM_1831_300s_20x20det_1_9_8   1534564 1528691 143598
SRM_1831_300s_20x20det_1_9_9   1530325 1528128 143949
SRM_1831_300s_20x20det_2_0_0   1659597 1648682 155285
SRM_1831_300s_20x20det_2_0_1   1656560 1646774 154979
SRM_1831_300s_20x20det_2_0_10  1662243 1656620 155158
SRM_1831_300s_20x20det_2_0_11  1662897 1657772 154539
SRM_1831_300s_20x20det_2_0_12  1664376 1659591 155054
SRM_1831_300s_20x20det_2_0_13  1663222 1657442 155192
SRM_1831_300s_20x20det_2_0_14  1664053 1659085 154986
SRM_1831_300s_20x20det_2_0_15  1659763 1656147 154731
SRM_1831_300s_20x20det_2_0_16  1663490 1656725 154534
SRM_1831_300s_20x20det_2_0_17  1662131 1653066 154732
SRM_1831_300s_20x20det_2_0_18  1659425 1655550 153992
SRM_1831_300s_20x20det_2_0_19  1663924 1657333 154548
SRM_1831_300s_20x20det_2_0_2    301166  299923  28073
SRM_1831_300s_20x20det_2_0_3   1659258 1649643 154795
SRM_1831_300s_20x20det_2_0_4   1661816 1653841 154825
SRM_1831_300s_20x20det_2_0_5   1660090 1654141 155001
SRM_1831_300s_20x20det_2_0_6   1667326 1660672 154831
SRM_1831_300s_20x20det_2_0_7   1665453 1659177 155359
SRM_1831_300s_20x20det_2_0_8   1664197 1658257 155133
SRM_1831_300s_20x20det_2_0_9   1621393 1652730 154838
