Net counts

Spectrum                              Na    Mg    Al      Si     S    Cl      K      Ca    Ti     V    Mn     Fe    Ni    Zn    Rb    Sr    Zr     Rh    Cd
SRM_1831_300s_20x20det_1_14_1.spx   9852 11633 15909 1674415 10132     0  53931 1857916  6494   522  3044 119533  1948 14559  6775 34511 11405 132217     0
SRM_1831_300s_20x20det_1_14_10.spx 10221 11732 15999 1677666 10159     0  50938 1857899  6402   295  2504 119630  1957 14756  7086 36450 11550 131710     0
SRM_1831_300s_20x20det_1_14_11.spx 10071 11609 16032 1675851 10243     0  46995 1856356  6684   422  2441 119774  2473 14477  6873 36133 10512 131348     0
SRM_1831_300s_20x20det_1_14_12.spx 10216 11332 15747 1678237 10050    71  48335 1855012  6663   497  2805 120299  1775 15512  6309 35477 11650 131293     0
SRM_1831_300s_20x20det_1_14_13.spx 10376 11614 15936 1679282 10099     0  45367 1859068  6540   325  2829 119794  2784 15056  6467 34911 11244 131406     0
SRM_1831_300s_20x20det_1_14_14.spx 10121 11662 15567 1678781  9850     0  49966 1858651  6514   629  2967 120212  2124 13825  7320 36285 11555 130978     0
SRM_1831_300s_20x20det_1_14_15.spx 10384 11580 16000 1675775 10431   150  51158 1855959  6516   522  2591 120336  2227 14194  7429 36104 11531 130176     0
SRM_1831_300s_20x20det_1_14_16.spx 10207 11626 15699 1677079 10305     0  42835 1859039  6755   464  2464 120010  2599 15113  7086 35828 11422 129857     0
SRM_1831_300s_20x20det_1_14_17.spx 10351 11741 15753 1676883 10135   145  51515 1855960  6315   590  2402 120764  2828 14727  6903 35220 11796 131390     0
SRM_1831_300s_20x20det_1_14_18.spx 10298 11558 16019 1676539 10032     0  44007 1858017  6325   430  2379 119522  2206 15099  6131 34997 10404 130484     0
SRM_1831_300s_20x20det_1_14_19.spx  9988 11437 15606 1677422 10180     0  44414 1857664  6805   175  2541 119960  2019 14156  6739 35879 11340 130767     0
SRM_1831_300s_20x20det_1_14_2.spx  10072 11604 15770 1672097 10181     0  46964 1857353  6971   369  2469 118995  2378 14974  6310 35087 11139 130263     0
SRM_1831_300s_20x20det_1_14_3.spx   9981 11476 15603 1675998 10179     0  53950 1855006  6310   364  2586 119580  2058 14274  6904 35462 11107 130765     0
SRM_1831_300s_20x20det_1_14_4.spx  10211 11510 15781 1674476 10193    19  41314 1856436  6497   261  2232 119062  1881 14856  6977 36461 10840 131209     0
SRM_1831_300s_20x20det_1_14_5.spx  10126 11453 16063 1675353  9555     0  40314 1853793  6698   605  2940 119890  2414 14886  7207 36289 11355 130158     0
SRM_1831_300s_20x20det_1_14_6.spx  10102 11933 15736 1676100  9669     0  47544 1856226  6546   360  2240 119188  1997 14626  6633 35472 11470 131924     0
SRM_1831_300s_20x20det_1_14_7.spx  10299 11453 15747 1670637 10292    17  48099 1857072  6565   528  2265 120208  2331 15246  6722 35540 11470 131135     0
SRM_1831_300s_20x20det_1_14_8.spx  10344 11374 16169 1674403 10249     0  53023 1853911  6996   602  2692 120131  2039 14563  7210 35808 12116 130032     0
SRM_1831_300s_20x20det_1_14_9.spx   9376 11071 15235 1622062  9743   316  47174 1846596  6403   493  2365 119427  3036 14416  6859 35215 12254 129708     0
SRM_1831_300s_20x20det_1_15_0.spx  10281 11529 16083 1678062 10271    88  50235 1859452  6752   604  2343 119903  2166 14421  6753 36121 11300 132507     0
SRM_1831_300s_20x20det_1_15_1.spx  10375 11607 15894 1678819 10006     0  48116 1857163  6825   529  2350 119755  1882 14761  7167 35600 11364 130780     0
SRM_1831_300s_20x20det_1_15_10.spx 10266 11388 15614 1674432 10291     4  50727 1854889  6812   434  2185 119569  1964 14518  6758 35554 10984 129987     0
SRM_1831_300s_20x20det_1_15_11.spx 10103 11644 15989 1671788 10114     0  44678 1854491  6721    79  1920 119398  2271 14560  7156 35509 11471 129868     0
SRM_1831_300s_20x20det_1_15_12.spx 10316 11572 16070 1672199  9994    92  48632 1854918  6224   475  2059 119813  1794 14817  7379 34972 11073 131586     0
SRM_1831_300s_20x20det_1_15_13.spx 10132 11635 15819 1674677 10187     0  42856 1854372  6628   519  2752 119781  2679 14574  6681 35077 12363 130490     0
SRM_1831_300s_20x20det_1_15_14.spx 10299 11421 15676 1670701 10499   316  41535 1853741  6527   576  2226 119820  2085 14251  6402 35534 11098 131059     0
SRM_1831_300s_20x20det_1_15_15.spx 10316 11549 15710 1673354  9958   197  45684 1858049  6642   469  2264 120195  2089 14691  7007 36107 11847 130237     0
SRM_1831_300s_20x20det_1_15_16.spx 10247 11760 16095 1678132 10178     0  47318 1861154  6596   514  2628 120608  1907 14411  7230 35227 12330 131058     0
SRM_1831_300s_20x20det_1_15_17.spx 10316 11535 16219 1678784 10006     0  46227 1857899  6374   107  2421 120545  2115 15075  7050 35779 11582 130032     0
SRM_1831_300s_20x20det_1_15_18.spx 10222 11769 16140 1675772  9905     0  49794 1855534  6429   522  2357 120271  2672 14599  6043 34963 12034 130121     0
SRM_1831_300s_20x20det_1_15_19.spx 10244 11630 15389 1679902 10095   294  52311 1860119  6385   396  2327 119875  1757 14776  6591 35995 11277 130977     0
SRM_1831_300s_20x20det_1_15_2.spx  10122 11789 15746 1673702 10211     0  40599 1862515  6403   325  2870 120819  2908 14541  7143 36009 11553 131270     0
SRM_1831_300s_20x20det_1_15_3.spx  10280 11508 15701 1675908 10213     0  43453 1856185  6676   292  2563 119652  1535 13927  6483 35952 11037 131176     0
SRM_1831_300s_20x20det_1_15_4.spx  10238 11582 15447 1671846 10024     0  48306 1856257  6129   467  2532 120326  2320 14619  6383 36361 11277 130055     0
SRM_1831_300s_20x20det_1_15_5.spx  10197 11515 15711 1675892 10091   173  46714 1856986  6355   465  2481 119857  1939 14235  6968 36778 11440 130486     0
SRM_1831_300s_20x20det_1_15_6.spx  10176 11484 15632 1676352 10003     0  49711 1861704  6808   554  2617 120220  2575 14584  6782 35175 11840 130933     0
