Net counts

Spectrum                            Si      Ca     Rh
SRM_1831_300s_20x20det_1_7_9   1657552 1827195 119868
SRM_1831_300s_20x20det_1_8_0   1655235 1826839 119909
SRM_1831_300s_20x20det_1_8_1   1653443 1826004 119846
SRM_1831_300s_20x20det_1_8_10  1654948 1826237 119799
SRM_1831_300s_20x20det_1_8_11  1656408 1826656 120456
SRM_1831_300s_20x20det_1_8_12  1654430 1822803 119504
SRM_1831_300s_20x20det_1_8_13  1656066 1825664 120314
SRM_1831_300s_20x20det_1_8_14  1655839 1826155 119637
SRM_1831_300s_20x20det_1_8_15  1654714 1826171 119579
SRM_1831_300s_20x20det_1_8_16  1653158 1821432 119074
SRM_1831_300s_20x20det_1_8_17  1649584 1822751 118782
SRM_1831_300s_20x20det_1_8_18  1653102 1824842 119055
SRM_1831_300s_20x20det_1_8_19  1653423 1822675 120004
SRM_1831_300s_20x20det_1_8_2   1654093 1825436 119379
SRM_1831_300s_20x20det_1_8_3   1655036 1823168 118660
SRM_1831_300s_20x20det_1_8_4   1656693 1825595 119314
SRM_1831_300s_20x20det_1_8_5   1657862 1829231 120383
SRM_1831_300s_20x20det_1_8_6   1657519 1827828 120512
SRM_1831_300s_20x20det_1_8_7   1656406 1825181 119065
SRM_1831_300s_20x20det_1_8_8   1657488 1823496 120530
SRM_1831_300s_20x20det_1_8_9   1658840 1828827 120265
SRM_1831_300s_20x20det_1_9_0   1658498 1828349 120436
SRM_1831_300s_20x20det_1_9_1   1653520 1826460 120746
SRM_1831_300s_20x20det_1_9_10  1654304 1824843 119760
SRM_1831_300s_20x20det_1_9_11  1656947 1824554 119276
SRM_1831_300s_20x20det_1_9_12  1656977 1824765 119451
SRM_1831_300s_20x20det_1_9_13  1652695 1823210 119415
SRM_1831_300s_20x20det_1_9_14  1653036 1824191 119244
SRM_1831_300s_20x20det_1_9_15  1652820 1819343 119722
SRM_1831_300s_20x20det_1_9_16  1655984 1827126 120302
SRM_1831_300s_20x20det_1_9_17  1612757 1815739 119389
SRM_1831_300s_20x20det_1_9_18  1655897 1824614 119969
SRM_1831_300s_20x20det_1_9_19  1657248 1824138 120039
SRM_1831_300s_20x20det_1_9_2   1653752 1824696 120444
