Net counts

Spectrum                          Na    Mg    Al      Si     S     K      Ca    Ti     V     Fe    Zn    Sr    Zr     Rh
SRM_1831_300s_20x20det_1_15_7   9315  9364  8191 1656561  9542 40833 1819301  6492   299 119368  4880 30453 10282 120438
SRM_1831_300s_20x20det_1_15_8   9539  9622  8539 1655094  8972 40306 1817352  6693   187 119454  5351 30631 10741 119587
SRM_1831_300s_20x20det_1_15_9   9510  9276  8440 1655220  9358 40371 1815998  6232   255 119081  4744 31125  9762 119703
SRM_1831_300s_20x20det_1_16_0   9332  9382  8604 1657658  9579 40727 1820886  6355     0 119924  4943 30742 10332 120527
SRM_1831_300s_20x20det_1_16_1   9383  9712  8721 1656598  9111 40307 1820047  6629   296 119997  4855 30853 10538 119825
SRM_1831_300s_20x20det_1_16_10  9428  9128  8308 1656758  9353 40189 1820268  6391     0 119426  4743 31205 10426 120110
SRM_1831_300s_20x20det_1_16_11  9411  9627  8591 1658866  9315 41143 1820918  6535    72 120468  4405 31326 10033 119324
SRM_1831_300s_20x20det_1_16_12  9214  9294  8383 1655514  9169 40200 1821766  6571   226 119414  4230 31022 10809 118541
SRM_1831_300s_20x20det_1_16_13  8027  8300  7634 1526095 13558 39898 1800912  6475   303 119673  4557 31257 11345 119688
SRM_1831_300s_20x20det_1_16_14  9426  9584  8441 1657356  9234 40365 1818498  6487   179 119162  4622 31011 11245 120780
SRM_1831_300s_20x20det_1_16_15  9546  9299  8452 1655109  9202 40507 1819132  6469    56 118815  5137 30355  9987 119549
SRM_1831_300s_20x20det_1_16_16  9597  9691  8404 1659319  9240 40391 1820469  6430   119 120018  5650 31066 10047 119737
SRM_1831_300s_20x20det_1_16_17  9316  9273  8578 1655904  9370 40061 1820380  6556   306 119845  4955 30943  9680 119313
SRM_1831_300s_20x20det_1_16_18  9663  9391  8652 1660428  9347 40608 1821875  6569   456 118583  4861 31084 10322 119806
SRM_1831_300s_20x20det_1_16_19  9305  9576  8589 1656086  9464 40550 1820152  6403   218 118832  4551 31455 10494 120006
SRM_1831_300s_20x20det_1_16_2   9663  9689  8770 1658025  8884 40456 1819958  6388   246 120157  4987 31027 10294 119932
SRM_1831_300s_20x20det_1_16_3   9480  9266  8461 1650758  9487 40595 1815326  6310     0 120043  5296 30641 10353 119040
SRM_1831_300s_20x20det_1_16_4   9459  9427  8673 1658428  9491 40207 1821782  7021   211 119266  5139 31133 10193 119235
SRM_1831_300s_20x20det_1_16_5   9245  9364  8268 1658125  9163 40506 1817566  6544     0 120396  4143 31192 10125 119411
SRM_1831_300s_20x20det_1_16_6   9052  9476  8242 1655394  9427 40844 1817911  6367    81 119039  5423 31263 10480 119690
SRM_1831_300s_20x20det_1_16_7   9385  9128  8217 1653362  9382 39929 1820115  6472    89 119371  4541 30316 11178 120215
SRM_1831_300s_20x20det_1_16_8   9600  9554  8390 1656335  9500 40006 1820273  6216     0 120813  4201 31739 10099 120510
SRM_1831_300s_20x20det_1_16_9   9241  9320  8647 1655458  9288 40246 1817344  6643   217 119486  4557 31294 10855 120159
SRM_1831_300s_20x20det_1_17_0   9482  9222  8288 1660000  9216 40505 1824042  6246    52 119703  4797 30644 10180 119718
SRM_1831_300s_20x20det_1_17_1   9599  9636  8869 1658079  9422 40273 1821964  6373    88 119828  5145 30860 10295 119903
SRM_1831_300s_20x20det_1_17_10  9422  9475  8553 1659609  9352 40906 1819933  6879   541 120829  5268 31555 11023 119277
SRM_1831_300s_20x20det_1_17_11  9350  9404  8222 1660597  9387 40366 1821170  6337   189 120463  4760 31145 11108 120621
SRM_1831_300s_20x20det_1_17_12  9334  9374  8619 1659523  9157 40110 1821521  6548     0 120260  4041 30513 10708 120409
SRM_1831_300s_20x20det_1_17_13  9358  9415  8446 1657959  9168 39977 1820477  6811   231 119878  5320 31408 11682 119278
SRM_1831_300s_20x20det_1_17_14  9394  9267  8300 1659296  9364 40780 1822556  6357   285 119958  5393 31082  9784 120021
SRM_1831_300s_20x20det_1_17_15  9537  9507  8360 1654597  9122 40430 1818048  6239   166 119966  4370 30317 10756 120624
SRM_1831_300s_20x20det_1_17_16  9427  9401  8700 1660784  9593 39747 1819036  6309   465 120512  3738 31014 10345 119286
SRM_1831_300s_20x20det_1_17_17  9430  9722  8596 1657911  9230 40481 1817824  6459    23 120365  5127 30889  9707 120331
SRM_1831_300s_20x20det_1_17_18  9219  9527  8428 1657262  9148 40092 1818816  6677   230 119815  4981 30557 10357 120056
SRM_1831_300s_20x20det_1_17_19  9630  9317  8302 1658379  9523 40390 1818925  6843   467 120027  4891 31219 10065 120122
SRM_1831_300s_20x20det_1_17_2   9458  9481  8285 1659562  9209 40543 1821601  6539     0 120891  5289 30794 10476 119947
SRM_1831_300s_20x20det_1_17_3   9437  9501  8496 1661814  9365 40282 1822500  6483     0 119876  5164 31136 10412 119759
SRM_1831_300s_20x20det_1_17_4   9428  9259  8387 1652420  8900 40306 1815025  6596     0 119686  5165 30546 10520 120171
SRM_1831_300s_20x20det_1_17_5   9391  9440  8576 1659811  9367 40431 1825120  6220   225 120221  4755 30698 10572 119714
SRM_1831_300s_20x20det_1_17_6   9540  9496  8487 1659202  9224 40428 1819336  6332   109 119697  4085 31389 10093 120395
SRM_1831_300s_20x20det_1_17_7   9314  9521  8313 1658219  9146 40953 1817724  6457     0 120415  4338 30594 10291 119711
SRM_1831_300s_20x20det_1_17_8   9511  9388  8272 1657810  9173 40601 1817351  6301   301 119539  4678 30853 10724 121101
SRM_1831_300s_20x20det_1_17_9   9276  9568  8167 1660753  9653 40657 1824829  6440    60 120065  5244 31021 10313 119734
SRM_1831_300s_20x20det_1_18_0   9284  9213  8720 1657416  9310 40403 1821715  6492   201 120052  4539 30275 10177 120771
SRM_1831_300s_20x20det_1_18_1   9579  9545  8819 1653041  9614 39942 1817146  6261    50 120177  4998 30935 10336 120431
SRM_1831_300s_20x20det_1_18_10  9407  9429  8403 1655515  9507 40862 1815378  6419   214 120040  4087 30794 10426 120327
SRM_1831_300s_20x20det_1_18_11  9557  9144  8635 1656679  9115 40648 1819918  6036   259 120182  5049 31062  9817 118872
SRM_1831_300s_20x20det_1_18_12  9540  9556  8528 1658620  9455 40183 1814132  6785    29 120050  4711 32074  9289 120269
SRM_1831_300s_20x20det_1_18_13  9545  9594  8571 1656851  9385 40711 1816445  6502    71 119685  5398 31372 11409 119430
SRM_1831_300s_20x20det_1_18_14  9359  9215  8391 1655253  9483 40151 1819485  6690   206 120103  4405 30907 10360 121266
SRM_1831_300s_20x20det_1_18_15  9400  9357  8244 1653590  9593 40428 1814288  6454   264 119759  4874 30641 10964 120312
SRM_1831_300s_20x20det_1_18_16  9530  9521  8540 1652059  9665 40143 1814926  6515    93 119766  4979 30904 10484 119637
SRM_1831_300s_20x20det_1_18_17  9344  9710  8301 1655667  9382 40264 1816604  6217   106 119368  4511 30398 10356 120082
SRM_1831_300s_20x20det_1_18_18  9265  9499  8582 1654386  9460 40528 1817495  6617   244 120639  3978 30655  9791 119640
SRM_1831_300s_20x20det_1_18_19  9403  9412  8508 1653390  9311 40584 1817025  6450   430 120498  5601 31771 10041 120496
