ROI net sum

Spectrum                            Si      Ca     Rh
SRM_1831_300s_20x20det_1_6_9   1527471 1519508 104533
SRM_1831_300s_20x20det_1_7_0   1528865 1518781 105115
SRM_1831_300s_20x20det_1_7_1   1531929 1522499 105150
SRM_1831_300s_20x20det_1_7_10  1528999 1520511 103931
SRM_1831_300s_20x20det_1_7_11  1529964 1523414 104647
SRM_1831_300s_20x20det_1_7_12  1530939 1524071 104311
SRM_1831_300s_20x20det_1_7_13  1528699 1521560 104112
SRM_1831_300s_20x20det_1_7_14  1529869 1521871 103982
SRM_1831_300s_20x20det_1_7_15  1527494 1521119 104176
SRM_1831_300s_20x20det_1_7_16  1529410 1520856 103184
SRM_1831_300s_20x20det_1_7_17  1524956 1516509 103417
SRM_1831_300s_20x20det_1_7_18  1529649 1521721 105078
SRM_1831_300s_20x20det_1_7_19  1530706 1523656 104432
SRM_1831_300s_20x20det_1_7_2   1528998 1522750 104442
SRM_1831_300s_20x20det_1_7_3   1530941 1522451 104425
SRM_1831_300s_20x20det_1_7_4   1530799 1521106 104213
SRM_1831_300s_20x20det_1_7_5   1531134 1522998 103538
SRM_1831_300s_20x20det_1_7_6   1529279 1519990 103622
SRM_1831_300s_20x20det_1_7_7   1528183 1520411 103536
SRM_1831_300s_20x20det_1_7_8   1532222 1522666 103931
SRM_1831_300s_20x20det_1_7_9   1532639 1522880 103982
SRM_1831_300s_20x20det_1_8_0   1529638 1523127 104726
SRM_1831_300s_20x20det_1_8_1   1529840 1522031 103950
SRM_1831_300s_20x20det_1_8_10  1530429 1521827 104000
SRM_1831_300s_20x20det_1_8_11  1530316 1522842 103740
SRM_1831_300s_20x20det_1_8_12  1529601 1519839 103942
SRM_1831_300s_20x20det_1_8_13  1530149 1521977 104690
SRM_1831_300s_20x20det_1_8_14  1529535 1522919 103656
SRM_1831_300s_20x20det_1_8_15  1528913 1522958 104084
SRM_1831_300s_20x20det_1_8_16  1528065 1519630 103180
SRM_1831_300s_20x20det_1_8_17  1524470 1519197 103397
SRM_1831_300s_20x20det_1_8_18  1529168 1521296 103744
SRM_1831_300s_20x20det_1_8_19  1528441 1520897 103437
SRM_1831_300s_20x20det_1_8_2   1529062 1522000 103624
SRM_1831_300s_20x20det_1_8_3   1528875 1520640 103459
SRM_1831_300s_20x20det_1_8_4   1530951 1520932 103622
SRM_1831_300s_20x20det_1_8_5   1531812 1525241 104401
SRM_1831_300s_20x20det_1_8_6   1531542 1523660 104668
SRM_1831_300s_20x20det_1_8_7   1530911 1521504 103779
SRM_1831_300s_20x20det_1_8_8   1531276 1520936 104361
SRM_1831_300s_20x20det_1_8_9   1533299 1524727 104317
SRM_1831_300s_20x20det_1_9_0   1532795 1523807 105383
SRM_1831_300s_20x20det_1_9_1   1528935 1523602 104946
SRM_1831_300s_20x20det_1_9_10  1529679 1522206 103855
SRM_1831_300s_20x20det_1_9_11  1530610 1520906 103690
SRM_1831_300s_20x20det_1_9_12  1530782 1521255 103910
SRM_1831_300s_20x20det_1_9_13  1527419 1518533 103815
SRM_1831_300s_20x20det_1_9_14  1528019 1520680 103004
SRM_1831_300s_20x20det_1_9_15  1528087 1517019 103635
SRM_1831_300s_20x20det_1_9_16  1530367 1524132 104658
SRM_1831_300s_20x20det_1_9_17  1490487 1513487 103553
SRM_1831_300s_20x20det_1_9_18  1529676 1520892 104011
SRM_1831_300s_20x20det_1_9_19  1531337 1520744 103772
SRM_1831_300s_20x20det_1_9_2   1528555 1520659 104241
SRM_1831_300s_20x20det_1_9_3   1531724 1523661 104166
SRM_1831_300s_20x20det_1_9_4   1532231 1519019 104227
SRM_1831_300s_20x20det_1_9_5   1529164 1520729 104447
SRM_1831_300s_20x20det_1_9_6   1532584 1523501 103964
SRM_1831_300s_20x20det_1_9_7   1527557 1521332 103689
SRM_1831_300s_20x20det_1_9_8   1531377 1522288 104725
SRM_1831_300s_20x20det_1_9_9   1527204 1521787 104352
SRM_1831_300s_20x20det_2_0_0   1656012 1641549 110630
SRM_1831_300s_20x20det_2_0_1   1652840 1639687 110999
SRM_1831_300s_20x20det_2_0_10  1658659 1649559 111397
SRM_1831_300s_20x20det_2_0_11  1659162 1650692 111120
SRM_1831_300s_20x20det_2_0_12  1660864 1652584 111882
SRM_1831_300s_20x20det_2_0_13  1659573 1650132 111867
SRM_1831_300s_20x20det_2_0_14  1660400 1651932 111473
SRM_1831_300s_20x20det_2_0_15  1656038 1648864 112053
SRM_1831_300s_20x20det_2_0_16  1659863 1649488 111379
SRM_1831_300s_20x20det_2_0_17  1658558 1645826 111551
SRM_1831_300s_20x20det_2_0_18  1655988 1648370 110905
SRM_1831_300s_20x20det_2_0_19  1660350 1650119 111378
SRM_1831_300s_20x20det_2_0_2    300556  298564  20277
SRM_1831_300s_20x20det_2_0_3   1655511 1642400 112156
SRM_1831_300s_20x20det_2_0_4   1658250 1646708 111700
SRM_1831_300s_20x20det_2_0_5   1656492 1646800 111277
SRM_1831_300s_20x20det_2_0_6   1663642 1653369 111213
SRM_1831_300s_20x20det_2_0_7   1661931 1651974 111962
SRM_1831_300s_20x20det_2_0_8   1660637 1651097 111385
SRM_1831_300s_20x20det_2_0_9   1617732 1645565 111746
SRM_1831_300s_20x20det_2_1_0   1652084 1648626 111539
SRM_1831_300s_20x20det_2_1_1   1660208 1649862 110846
SRM_1831_300s_20x20det_2_1_10  1653561 1649845 109953
SRM_1831_300s_20x20det_2_1_11  1655583 1647842 111489
SRM_1831_300s_20x20det_2_1_12  1652176 1646354 110586
SRM_1831_300s_20x20det_2_1_13  1654855 1648417 111655
SRM_1831_300s_20x20det_2_1_14  1655435 1647759 111231
SRM_1831_300s_20x20det_2_1_15  1658228 1649570 111152
SRM_1831_300s_20x20det_2_1_16  1652126 1646205 110334
SRM_1831_300s_20x20det_2_1_17  1654222 1644117 110631
SRM_1831_300s_20x20det_2_1_18  1654355 1643828 111406
SRM_1831_300s_20x20det_2_1_19  1656618 1649385 111083
