ROI net sum

Spectrum               Na    Mg    Al      Si      K      Ca    Ti    Mn     Fe    Zn    Rb     Sr    Zr     Rh
241                 44821 47114 64201 5424854 144250 5399620 20442 10805 343673 54712 36510 113290 49027 367552
242                 44713 46467 63458 5421528 143194 5397563 20670  9765 343006 52655 36715 112169 48246 366617
243                 44957 46724 63545 5420271 144903 5391106 20144 10659 342184 53294 35998 112955 47127 368078
244                 45034 46663 63633 5420615 144052 5388309 20329 10328 342834 54093 36101 112463 48334 367977
245                 44849 47014 63309 5409120 143864 5391430 20753  9604 341202 53422 35940 112070 47986 366618
246                 44896 46650 63738 5409431 143500 5386320 20407  9283 343878 53812 36203 112730 48538 366874
247                 44425 46466 64228 5405853 144197 5378523 20538 10660 343913 54179 36406 111104 46004 368007
248                 44562 46901 63226 5389409 143189 5369012 20709  8990 339939 53198 37466 113458 48588 364227
249                 44367 46901 63685 5397793 143955 5377492 20070 10169 342623 54156 37380 113087 48408 367013
250                 44410 46465 63701 5394228 144031 5376250 19694  9615 342196 55520 36035 113449 47781 366414
251                 44762 46619 63513 5399141 143526 5372803 19906  9915 341982 54542 37491 113450 49024 365635
252                 44927 46739 63467 5391817 143982 5372209 20132  9981 339477 53487 36930 112943 47910 369537
253                 44944 47407 63671 5389075 144231 5366878 20502 10344 341320 54354 37224 112838 49609 375424
254                 45949 47853 65287 5444331 145062 5409019 20281 10711 344079 54110 35748 114194 48587 391483
255                 45329 47458 64088 5442069 144972 5410115 20423 10039 344982 52909 36052 112488 48360 375073
256                 44722 47011 64681 5438613 144244 5412747 20180 11007 344751 53955 37801 113857 49204 369478
257                 45302 46649 64406 5439028 144787 5407123 21011  9902 342185 54600 36882 113323 48360 369275
258                 44308 47206 64314 5433366 144383 5398166 20227 10166 343430 53160 36448 112673 46789 368717
259                 44823 46921 64261 5430979 144245 5402140 20416 10028 343924 54869 35973 113333 47924 367038
260                 45463 47095 63893 5433125 143993 5396879 20176 11038 341898 53278 36625 111447 49802 367579
261                 45024 46780 63965 5417175 144072 5393514 21090 10175 341777 53206 36341 111679 48660 367818
262                 44499 46821 63514 5399271 143606 5374212 20049 10988 341771 54605 35385 112249 49850 365499
263                 45024 46864 63438 5410395 144728 5384875 20073 10177 343175 53544 36557 112617 48934 366904
