ROI net sum

Spectrum                          Na    Mg    Al      Si     K      Ca   Ti    Mn    Fe    Zn    Rb    Sr    Zr     Rh
SRM_1831_300s_20x20det_1_18_11 12897 13268 18194 1531572 41017 1523135 5569  3072 96638 15901 10958 31973 13946 103874
SRM_1831_300s_20x20det_1_18_12 12762 13359 18010 1532251 40656 1517739 6154  3395 96401 15624 10282 32594 13545 103954
SRM_1831_300s_20x20det_1_18_13 12988 13486 17984 1531363 40970 1520633 6346  3666 96787 15801 10851 32427 15533 103686
SRM_1831_300s_20x20det_1_18_14 12731 13215 17921 1529202 40350 1520310 6031  3328 96821 15281 11056 31748 14171 104971
SRM_1831_300s_20x20det_1_18_15 12597 13298 17750 1528004 40671 1518395 5769  2811 96761 15670 10335 32157 14983 104767
SRM_1831_300s_20x20det_1_18_16 12821 13382 17898 1527054 40377 1519155 5930  3676 96721 15395 10751 31745 14339 103846
SRM_1831_300s_20x20det_1_18_17 12787 13522 17615 1530142 40631 1519442 5937  3889 96703 15622 10436 30908 14611 104362
SRM_1831_300s_20x20det_1_18_18 12537 13351 17999 1529356 40869 1520733 5972  3430 97326 15153 10626 31561 13673 104149
SRM_1831_300s_20x20det_1_18_19 12751 13539 18185 1528989 40917 1519192 5998  3839 97118 15885  9999 31999 14345 104614
SRM_1831_300s_20x20det_1_18_2  12691 13341 18091 1532042 40846 1524494 6146  3162 96370 15703 11014 32323 14782 104149
SRM_1831_300s_20x20det_1_18_3  12653 13240 17479 1529581 40390 1518473 6132  3222 96908 15933 10265 32847 15597 103751
SRM_1831_300s_20x20det_1_18_4  12917 13611 18059 1533533 40714 1522021 5621  3504 97176 16055 10661 32095 14276 104986
SRM_1831_300s_20x20det_1_18_5  12737 13346 17798 1527094 40385 1522909 5919  3180 96423 15456  9744 32555 14335 103310
SRM_1831_300s_20x20det_1_18_6  12753 13209 17946 1530488 40685 1518988 5726  3324 96389 14921 10392 31418 14088 104121
SRM_1831_300s_20x20det_1_18_7  12583 13177 17839 1522918 40501 1520104 5538  3267 97217 15868  9758 32094 15073 103497
SRM_1831_300s_20x20det_1_18_8  12716 13296 18037 1531905 41008 1519492 6028  3419 96450 15531 10659 32258 14534 103978
SRM_1831_300s_20x20det_1_18_9  12844 13281 17954 1530578 40737 1520533 5923  3526 97096 15584 11066 32315 14531 104166
SRM_1831_300s_20x20det_1_19_0  13092 13419 18106 1530614 40746 1519535 5925  2998 96538 15077 10440 32030 14627 105325
SRM_1831_300s_20x20det_1_19_1  12804 13382 18304 1528877 40434 1518865 5906  2859 96412 15890 10370 31281 14893 104147
SRM_1831_300s_20x20det_1_19_10 12907 13278 17798 1528370 40731 1519368 5628  3271 96629 16064  9448 31721 14406 104695
SRM_1831_300s_20x20det_1_19_11 12682 13158 17812 1532875 40726 1521156 5814  3801 96592 15001 10258 31548 13730 103986
SRM_1831_300s_20x20det_1_19_12 13001 13267 17718 1532103 40516 1520368 5571  3206 96555 14986 10716 31867 14959 104254
SRM_1831_300s_20x20det_1_19_13 12745 13297 17944 1534782 41131 1522841 6284  3333 96845 15800 10826 32478 15090 104120
SRM_1831_300s_20x20det_1_19_14 12848 13285 18180 1530551 40876 1522593 5891  3586 98424 15458 10448 32723 14121 104309
SRM_1831_300s_20x20det_1_19_15 12898 13266 17860 1526499 40643 1515907 5886  3027 96883 16026 10725 32018 14227 104207
SRM_1831_300s_20x20det_1_19_16 12991 13273 18182 1532060 40570 1519742 5898  3580 96668 16144 10919 31987 14592 104938
