ROI net sum

Spectrum                          Na    Mg    Al      Si     K      Ca    Ti    Mn     Fe    Zn    Rb    Sr    Zr     Rh
SRM_1831_300s_20x20det_2_18_1  13769 14191 19748 1657426 43649 1649515  6326  3472 105397 17452 11182 35115 15976 111904
SRM_1831_300s_20x20det_2_18_10 13554 14242 19781 1658144 44089 1646223  6351  3208 104784 16836 10919 34203 15295 111171
SRM_1831_300s_20x20det_2_18_11 13835 14185 19784 1661144 43815 1648287  6394  4271 105327 17563 10852 34354 16691 109798
SRM_1831_300s_20x20det_2_18_12 13589 14324 19820 1658491 44074 1651907  6537  3751 105603 16091 11308 34830 16187 110085
SRM_1831_300s_20x20det_2_18_13 13891 14196 19886 1659519 44055 1648257  6389  3954 105643 16462 11689 34342 15017 111252
SRM_1831_300s_20x20det_2_18_14 13612 14361 19653 1659670 43980 1650756  6454  3883 105014 17021 11791 34226 16770 110585
SRM_1831_300s_20x20det_2_18_15 13520 14173 19592 1658307 43975 1646940  6169  3683 105527 17479 11928 35394 17203 110852
SRM_1831_300s_20x20det_2_18_16 13677 14183 19688 1659040 44271 1649537  6500  3720 105472 16661 10959 34378 15477 111057
SRM_1831_300s_20x20det_2_18_17 13530 14370 19760 1658933 44110 1645212  6212  3569 105081 16819 11819 33996 15986 110886
SRM_1831_300s_20x20det_2_18_18 13529 14086 19829 1658115 44055 1649319  6528  3346 104861 17188 11316 33979 16230 111824
SRM_1831_300s_20x20det_2_18_19 13531 14197 20017 1651123 43629 1641086  6898  3419 104902 16978 11664 34537 16283 110524
SRM_1831_300s_20x20det_2_18_2  13767 14135 19929 1656026 43966 1646312  6127  3124 104341 16069 12029 34297 16304 111600
SRM_1831_300s_20x20det_2_18_3  13711 14244 19579 1658282 44219 1647993  6481  3323 104684 16863 11940 34618 16223 110759
SRM_1831_300s_20x20det_2_18_4  13618 14016 19721 1658053 44160 1646897  6395  3672 105342 16380 12129 34719 16314 110798
SRM_1831_300s_20x20det_2_18_5  13848 13970 19722 1651983 43925 1641867  6811  3604 104527 16746 11324 33492 15265 110250
SRM_1831_300s_20x20det_2_18_6  13621 14097 19815 1656443 43992 1646723  6325  4066 105022 16620 11439 34110 15899 110459
SRM_1831_300s_20x20det_2_18_7  13542 14114 19244 1648926 43778 1645947  6329  4018 105723 16647 12188 35288 16391 110804
SRM_1831_300s_20x20det_2_18_8  13608 14180 19779 1658242 44033 1648062  6293  3271 104690 16803 11568 34851 15626 110964
SRM_1831_300s_20x20det_2_18_9  13609 14279 20043 1656879 44340 1647822  6466  3366 104797 16144 12188 34347 15645 110970
SRM_1831_300s_20x20det_2_19_0  13920 14175 19561 1654176 43949 1647386  6389  3737 105002 16465 11355 34653 16017 111802
SRM_1831_300s_20x20det_2_19_1  13667 14292 19993 1655265 43834 1645429  6543  4417 105849 16901 11717 34672 16363 109978
SRM_1831_300s_20x20det_2_19_10 13669 14304 19798 1656208 43709 1648656  6485  3517 105518 16904 11970 34521 15943 110567
SRM_1831_300s_20x20det_2_19_11 13706 14353 19729 1660605 43772 1650619  6199  4532 105414 16878 11859 34206 15839 110202
SRM_1831_300s_20x20det_2_19_12 13655 14127 20003 1663813 44371 1652414  6510  3347 105507 16265 11930 34573 15999 111201
SRM_1831_300s_20x20det_2_19_13 13665 14174 19558 1663839 43913 1651377  6204  3411 104907 16515 11534 34091 15031 111845
SRM_1831_300s_20x20det_2_19_14 13244 13953 19633 1661645 44073 1648556  6323  3980 105964 16548 11433 34020 14954 110655
SRM_1831_300s_20x20det_2_19_15 13784 14235 19511 1658836 43946 1650515  6531  3443 104402 17363 11863 34690 16141 110112
SRM_1831_300s_20x20det_2_19_16 13588 14248 19400 1662422 44291 1647193  6434  3828 105261 16182 12320 35591 16090 111189
